endTime,artistName,trackName,msPlayed
2022-01-11 08:25,Erick the Architect,Let It Go,1671
2022-01-11 08:25,Powfu,death bed (coffee for your head),928
2022-01-11 08:25,Petit Biscuit,Sunset Lover,1021
2022-01-11 08:25,Mohbad,Feel Good,117492
2022-01-11 08:25,Tory Lanez,Still Waiting (feat. Trey Songz),417
2022-01-11 08:25,SALES,Pope Is a Rockstar,1068
2022-01-11 08:25,Zaini,wherever you would call me,139
2022-01-11 08:29,Kendrick Lamar,A.D.H.D,187779
2022-01-11 08:46,Verzache,All I Need,203750
2022-01-11 08:55,Labi Siffre,My Song,7352
2022-01-11 09:11,Bob Moses,Writing On The Wall,72167
2022-01-11 09:14,Rema,Bounce,187782
2022-01-11 10:35,Kanye West,Never Let Me Down,673
2022-01-11 10:35,Tobe Nwigwe,TRY JESUS,61077
2022-01-11 10:35,Warren G,Regulate,0
2022-01-11 10:35,Show Dem Camp,Flex On You,1021
2022-01-11 10:35,SL,Tropical,626
2022-01-11 10:35,Coolio,Gangsta's Paradise,859
2022-01-11 10:35,Danny Sanchez,Go Back,2554
2022-01-11 10:35,Devmaccc,Hidden Message,1857
2022-01-11 10:35,J. Cole,Power Trip (feat. Miguel),928
2022-01-11 10:45,21 Savage,a lot,271301
2022-01-11 10:45,Olamide,Jailer (feat. Jaywillz),1091
2022-01-11 10:47,LANY,if this is the last time,50085
2022-01-11 10:47,LADIPOE,Feeling,1137
2022-01-11 10:47,PinkPantheress,Pain,882
2022-01-11 10:47,Giveon,Like I Want You,1578
2022-01-11 10:47,Kauai45,Just The Two of Us,882
2022-01-11 10:47,Tone Stith,FWM,0
2022-01-11 10:47,Jenevieve,Baby Powder,952
2022-01-11 10:47,The Notorious B.I.G.,Big Poppa - 2005 Remaster,20967
2022-01-11 10:47,Lil Wayne,President Carter,1346
2022-01-11 10:47,Kanye West,Jail,1044
2022-01-11 11:15,Outkast,Hey Ya!,1068
2022-01-11 11:15,Khalid,Better,0
2022-01-11 11:15,J. Cole,i n t e r l u d e,719
2022-01-11 11:15,The Notorious B.I.G.,Big Poppa - 2005 Remaster,23
2022-01-11 11:18,Outkast,Hey Ya!,190357
2022-01-11 11:23,Nujabes,Counting Stars,1323
2022-01-11 11:23,Khalid,Better,165000
2022-01-11 11:23,Frank Ocean,Provider,1021
2022-01-11 11:24,Mac Miller,Dang! (feat. Anderson .Paak),1114
2022-01-11 11:27,Rihanna,Love On The Brain,1439
2022-01-11 11:27,carwash,supermarket,905
2022-01-11 11:27,GMK,Lagos (Everyday),998
2022-01-11 11:27,Zarion Uti,What's Gwanin,0
2022-01-11 11:27,Mac Miller,Dang! (feat. Anderson .Paak),975
2022-01-11 11:27,Dave,Streatham,952
2022-01-11 11:27,Frank Ocean,Provider,95178
2022-01-11 11:27,DRB Lasgidi,Trouble,208
2022-01-11 11:27,Kanye West,Hurricane,975
2022-01-11 11:27,M83,Midnight City,0
2022-01-11 11:30,Juice WRLD,Fast,208517
2022-01-11 11:38,Mac Miller,So It Goes,2600
2022-01-11 11:38,vaultboy,everything sucks,2345
2022-01-11 11:38,Mike Posner,I Took A Pill In Ibiza,1509
2022-01-11 11:38,Chris James,Not Angry,1648
2022-01-11 11:38,Mac Miller,2009,319932
2022-01-11 11:38,Kota the Friend,Nola (feat. Khary & Hello Oshay),1625
2022-01-11 11:38,Céline Dion,"My Heart Will Go On - Love Theme from ""Titanic""",0
2022-01-11 11:38,David Tv Barnes,Only In LA - skit version,2321
2022-01-11 11:38,BENJI PATTERSON,Lava Lamps,1602
2022-01-11 11:54,BANNERS,Someone To You,595198
2022-01-11 11:54,Powfu,the long way home (feat. Sara Kays & Sarcastic Sounds),26178
2022-01-11 11:59,J. Cole,January 28th,232942
2022-01-11 11:59,明星 <Akeboshi>,Wind,0
2022-01-11 11:59,French The Kid,Broken Lives And Stolen Peds,371
2022-01-11 11:59,Jeremy Zucker,you were good to me,0
2022-01-11 11:59,"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),952
2022-01-11 11:59,Nelly,Just A Dream,0
2022-01-11 12:06,Mac Miller,Good News,812
2022-01-11 12:06,Who-ya Extended,VIVID VICE,673
2022-01-11 12:06,Show Dem Camp,Up To You - Ikon Mix,626
2022-01-11 12:06,Lykke Li,sex money feelings die - slowed version,696
2022-01-11 12:06,SL,Mad About Africa - Pt. 2,379088
2022-01-11 12:06,MANIK MC,Blue Afternoons,766
2022-01-11 12:06,tobi lou,Buff Baby,743
2022-01-11 12:09,Lykke Li,sex money feelings die - slowed version,168810
2022-01-11 12:13,Show Dem Camp,Up To You - Ikon Mix,264138
2022-01-11 12:16,Powfu,I Can't Sleep,152500
2022-01-11 12:18,Russ,"Psycho, Pt. 2",100175
2022-01-11 12:18,Ryn Weaver,Pierre,1416
2022-01-11 12:21,Kanye West,No Child Left Behind,0
2022-01-11 12:21,Nujabes,Kumomi,719
2022-01-11 12:21,Sasha Alex Sloan,Too Sad To Cry,208986
2022-01-11 12:21,Warren G,Regulate - Remix Version,789
2022-01-11 12:21,CrySpy,Wasn't Enough,0
2022-01-11 12:21,BoyWithUke,Two Moons,5297
2022-01-11 12:21,CKay,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,743
2022-01-11 12:21,Lagbaja,Never Far Away,417
2022-01-11 12:21,Joey Bada$$,Survival Tactics,812
2022-01-11 12:23,Kanye West,No Child Left Behind,126595
2022-01-11 12:23,Nujabes,Kumomi,1021
2022-01-11 12:23,Bruno Mars,Smokin Out The Window,1021
2022-01-11 12:24,TK from Ling tosite sigure,unravel,0
2022-01-11 12:27,Nix Northwest,I Just Need an Early Night,157872
2022-01-11 12:27,Maroon 5,Sunday Morning,1369
2022-01-11 12:27,Juice WRLD,Righteous,975
2022-01-11 12:27,I.Am.Tru.Starr,26 Inches,859
2022-01-11 12:27,Drake,Passionfruit,789
2022-01-11 12:27,Mariah Carey,Hero,0
2022-01-11 12:27,Phora,room 427,905
2022-01-11 12:27,Nujabes,Blessing It -remix (feat. Substantial & Pase Rock from Five Deez),0
2022-01-11 12:27,347aidan,till the sun comes,0
2022-01-11 12:28,ArrDee,Flowers (Say My Name),580
2022-01-11 12:32,Juice WRLD,Righteous,242180
2022-01-11 12:46,ArrDee,Flowers (Say My Name),286371
